項次編號,分類,行政區代碼,分隊名稱,巷道名稱,寬度,備註
199,紅區,63000100,內湖分隊,內湖路1段737巷8弄,3.3,
200,紅區,63000110,社子分隊,延平北路5段224巷,2.9,
201,紅區,63000010,中崙分隊,光復南路66巷(八德路3段158巷以東),3.9,
202,黃區,63000040,松江分隊,建國北路2段64巷,4.9,
203,黃區,63000100,內湖分隊,成功路2段312巷,5.3,
204,黃區,63000060,延平分隊,長安西路145巷,4.8,
205,黃區,63000060,延平分隊,太原路79巷,4.1,
206,黃區,63000060,延平分隊,太原路97巷,4.3,
207,黃區,63000060,大同分隊,承德路2段75巷,5.1,
208,黃區,63000120,陽明山分隊,行義路180巷,5.2,
209,黃區,63000050,城中分隊,重慶南路1段118巷,4.4,
210,黃區,63000020,信義分隊,永吉路443巷13弄,4.1,
211,黃區,63000060,大同分隊,慶昌橋,4.7,
212,紅區,63000050,古亭分隊,同安街72巷,4,
213,黃區,63000110,劍潭分隊,美德街,4.6,
214,黃區,63000110,雙溪分隊,芝玉路1段,4.6,
215,黃區,63000110,劍潭分隊,福壽街,5.3,
216,黃區,63000110,山仔后分隊,愛富二街長生巷,4.6,
217,紅區,63000060,大同分隊,伊寧街(75巷口至105號),3.1,
218,紅區,63000120,光明分隊,大同街174巷,3,
219,紅區,63000110,山仔后分隊,建業路11巷,2.9,
220,紅區,63000030,安和分隊,四維路124巷,3.5,
221,紅區,63000030,安和分隊,和平東路3段512巷,3.5,
222,黃區,63000120,陽明山分隊,行義路58巷,4.6,
223,黃區,63000120,陽明山分隊,行義路5巷,4.3,
224,黃區,63000080,萬芳分隊,興德路20巷,4.5,
225,黃區,63000080,木柵分隊,開元街,4.8,
226,黃區,63000050,泉州分隊,南昌路2段18巷連通牯嶺街89巷,4.3,
227,黃區,63000030,金華分隊,浦城街13巷,4.1,
228,黃區,63000030,金華分隊,師大路68巷接浦城街21巷,5.1,
229,黃區,63000050,古亭分隊,廈門街81巷,4.9,
230,黃區,63000110,劍潭分隊,中正路235巷,4.1,
231,黃區,63000050,古亭分隊,廈門街71巷,4.3,
232,黃區,63000050,古亭分隊,同安街86巷,5.2,
233,黃區,63000050,古亭分隊,廈門街99巷,5.5,
234,黃區,63000050,城中分隊,延平南路133巷,4.9,
235,黃區,63000050,城中分隊,臨沂街59巷,5.4,
236,黃區,63000050,城中分隊,林森南路99巷,4.2,
237,黃區,63000050,城中分隊,連雲街26巷,4.3,
238,黃區,63000070,龍山分隊,南寧路48巷,4.1,
239,黃區,63000070,龍山分隊,漢口街2段74巷,4.1,
240,黃區,63000070,龍山分隊,昆明街96巷,4,
241,黃區,63000080,寶橋分隊,忠順街1段121巷3弄,4.5,
242,黃區,63000080,寶橋分隊,忠順街1段41巷3弄,4.5,
243,黃區,63000080,寶橋分隊,興隆路4段8巷,4.7,
244,黃區,63000040,大直分隊,北安路759巷,5.1,
