序號,行政區,登山步道路線,總長M,單程步行時間min,步道分級,起點,起點經度座標,起點緯度座標,起點是否為階梯,迄點,迄點經度座標,迄點緯度座標,迄點是否為階梯,步道口是否有路擋,是否適合輪椅通行,輪椅可通行段平均坡度,輪椅可通行段長度M,行動電話通訊情形,是否有流動廁所,流動廁所位置,是否為無障礙廁所
136,文山區,健康步道,414,45,親子級,茶推廣中心步道口,121.594,24.9693,是,私人工寮旁,121.5943,24.9736,是,否,否,無,0,可,否,無,無
137,文山區,壺穴步道,550,35,親子級,茶壺站對面寒舍入口,121.5967,24.9698,是,壺穴吊橋,121.5974,24.9661,是,否,否,無,0,可,否,無,無
138,文山區,小天空步道,200,15,親子級,茶推廣中心停車場旁,121.5955,24.9686,否,邀月餐廳門口,121.5964,24.9671,否,否,是,3%,190,可,否,無,無
139,文山區,飛龍步道,960,35,親子級,政治大學環山二道,121.5764,24.9799,是,樟山寺,121.5795,24.9732,是,否,否,無,0,可,是,起點,是
140,文山區,救千宮步道,1029,70,親子級,樟山寺,121.5789,24.9729,是,混元宮前高速公路涵洞下步道口,121.5715,24.9756,是,否,否,無,0,可,否,無,無
141,文山區,指南國小步道,686,35,親子級,指南國小,121.5832,24.9763,是,樟山寺前叉路口,121.5795,24.9735,是,否,否,無,0,可,否,無,無
142,文山區,拖板嶺步道,1320,70,親子級,指南國小,121.5836,24.9764,否,纜車貓空站,121.5882,24.9684,否,否,否,無,0,可,否,無,無
143,文山區,貓空越嶺步道,800,35,親子級,纜車貓空站對面步道口,121.5882,24.9683,是,稜線上十字路口,121.5881,24.9637,是,否,否,無,0,可,否,無,無
144,文山區,樟樹步道,1100,50,親子級,指南路三段34巷步道口,121.5805,24.9694,是,大觀園後方停車場,121.5873,24.9673,是,否,否,無,0,可,是,起點,否
145,文山區,楓林步道,160,15,親子級,樟樹步道楓林支線叉路口,121.5858,24.9677,是,指南路談天園對面步道口(含涼亭範圍),121.5849,24.9683,是,否,否,無,0,可,是,迄點,否
146,文山區,石獅腳步道,350,25,親子級,德興茶園旁步道口,121.5802,24.9721,是,指南路三段34巷27號旁步道口,121.5814,24.9699,否,否,否,無,0,可,否,無,無
147,文山區,老樟樹步道,70,5,親子級,樟樹步道老樟樹叉路口,121.5809,24.9695,是,繞一圈至前方80m出口,121.581,24.9692,是,否,否,無,0,可,否,無,無
148,文山區,樟湖步道,2500,100,親子級,指南路3段38巷涵鈺軒,121.5874,24.9672,否,指南路3段34巷步道口(公車樟山寺站旁),121.5799,24.9705,是,否,否,無,0,可,否,無,無
149,文山區,待老坑步道,522,30,親子級,樟湖步道待老坑叉路,121.5793,24.9663,是,待老坑山至老泉街26巷優人神鼓,121.5734,24.9657,是,否,否,無,0,可,否,無,無
150,文山區,登高步道,100,15,親子級,明德宮對面步道口,121.5784,24.9701,是,望遠亭,121.5779,24.9704,是,否,否,無,0,可,否,無,無
151,文山區,中埔山榕樹步道,250,15,親子級,辛亥路四段21巷步道口,121.5597,25.0099,否,石板鋪面終點,121.5581,25.0111,否,是,否,無,0,可,否,無,無
152,文山區,仙跡岩主稜線,400,40,親子級,溝子口支線及海巡署支線三叉路口,121.5435,24.991,是,主稜線及景興國小支線轉角,121.5505,24.9937,是,否,否,無,0,可,否,無,無
153,文山區,軍功山步道,600,35,親子級,軍功山世界山莊登山口,121.5646,25.0076,是,中埔山東峰步道交界處,121.5593,25.0114,是,否,否,無,0,可,否,無,無
154,文山區,中埔山東峰步道,700,35,親子級,軍功山步道交界處,121.5593,25.0114,是,辛亥路水泥陡坡終點,121.556,25.0136,是,否,否,無,0,可,否,無,無
